Scheme Code;ISIN Div Payout/ ISIN Growth;ISIN Div Reinvestment;Scheme Name;Net Asset Value;Date
102118;INF277K01EF5;INF277K01915;Tata Equity Savings Fund- Regular Plan - Periodic Payout of IDCW Option;19.9555;29-Aug-2022
101609;INF277K01EE8;INF277K01899;TATA Equity Savings Fund- Regular Plan -Monthly Payout of IDCW option;14.9342;29-Aug-2022
119958;INF277K01QI3;INF277K01QJ1;Tata Equity Savings Fund-Direct Plan - Monthly Payout of IDCW Option;17.5696;29-Aug-2022
119959;INF277K01QK9;INF277K01QL7;Tata Equity Savings Fund-Direct Plan - Periodic Payout of IDCWS Option;22.4659;29-Aug-2022
144312;INF582M01EC1;-;Union Equity Savings Fund - Direct Plan - Growth Option;13.70;30-Aug-2022
144313;INF582M01EE7;INF582M01ED9;Union Equity Savings Fund - Direct Plan - IDCW Option;13.70;30-Aug-2022
144310;INF582M01EG2;-;Union Equity Savings Fund - Regular Plan - Growth Option;13.36;30-Aug-2022
144311;INF582M01EI8;INF582M01EH0;Union Equity Savings Fund - Regular Plan - IDCW Option;13.36;30-Aug-2022
144490;INF789F1A777;-;UTI Equity Savings Fund - Direct Plan - Growth Option;14.0578;30-Aug-2022
144491;INF789F1A769;INF789F1A751;UTI Equity Savings Fund - Direct Plan - IDCW;14.0578;30-Aug-2022
144489;INF789F1A819;INF789F1A801;UTI Equity Savings Fund - Direct Plan - Monthly IDCW;14.0586;30-Aug-2022
144488;INF789F1A850;INF789F1A843;UTI Equity Savings Fund - Direct Plan - Quarterly IDCW;14.0578;30-Aug-2022
144484;INF789F1A744;-;UTI Equity Savings Fund - Regular Plan - Growth Option;13.5564;30-Aug-2022
144485;INF789F1A736;INF789F1A728;UTI Equity Savings Fund - Regular Plan - IDCW;13.5564;30-Aug-2022
144486;INF789F1A793;INF789F1A785;UTI Equity Savings Fund - Regular Plan - Monthly IDCW;13.5565;30-Aug-2022
144487;INF789F1A835;INF789F1A827;UTI Equity Savings Fund - Regular Plan - Quarterly IDCW;13.5564;30-Aug-2022
120524;INF846K01EV4;-;Axis Triple Advantage Fund - Direct Plan - Growth Option;33.6226;30-Aug-2022
120523;INF846K01ET8;INF846K01EU6;Axis Triple Advantage Fund - Direct Plan - IDCW;23.3433;30-Aug-2022
113064;INF846K01768;-;Axis Triple Advantage Fund - Regular Plan - Growth Option;29.9346;30-Aug-2022
113065;INF846K01776;INF846K01784;Axis Triple Advantage Fund - Regular Plan - IDCW;18.9717;30-Aug-2022
103131;INF179K01AP0;-;HDFC Multi-Asset Fund - Growth Option;48.81;30-Aug-2022
119131;INF179K01XW8;-;HDFC Multi-Asset Fund - Growth Option - Direct Plan;52.628;30-Aug-2022
103130;INF179K01AN5;INF179K01AO3;HDFC Multi-Asset Fund - IDCW Option;14.909;30-Aug-2022
119130;INF179K01XU2;INF179K01XV0;HDFC Multi-Asset Fund - IDCW Option - Direct Plan;17.134;30-Aug-2022
120334;INF109K015K4;-;ICICI Prudential Multi-Asset Fund - Direct Plan - Growth;487.9156;30-Aug-2022
120335;INF109K013K9;INF109K014K7;ICICI Prudential Multi-Asset Fund - Direct Plan - IDCW;37.7099;30-Aug-2022
101144;INF109K01761;-;ICICI Prudential Multi-Asset Fund - Growth;452.7935;30-Aug-2022
101143;INF109K01ED5;INF109K01779;ICICI Prudential Multi-Asset Fund - IDCW;24.7744;30-Aug-2022
115269;INF109K01TN2;-;ICICI Prudential Multi-Asset Fund- Institutional Growth Option;22.849;24-Apr-2020
104898;INF109K01787;-;ICICI Prudential Multi-Asset Fund-Institutional Option - I;43.0129;18-Jun-2018
148454;INF247L01AI8;-;Motilal Oswal Multi Asset Fund - Direct Plan - Growth Option;11.0388;30-Aug-2022
148455;INF247L01AJ6;-;Motilal Oswal Multi Asset Fund - Regular Plan - Growth Option;10.7200;30-Aug-2022
148457;INF204KB19V4;-;Nippon India Multi Asset Fund - Direct Plan - Growth Option;13.5597;29-Aug-2022
148458;INF204KB10W1;INF204KB11W9;NIPPON INDIA MULTI ASSET FUND - DIRECT Plan - IDCW Option;13.5597;29-Aug-2022
148460;INF204KB17V8;INF204KB18V6;NIPPON INDIA MULTI ASSET FUND - IDCW Option;13.1646;29-Aug-2022
148459;INF204KB16V0;-;Nippon India Multi Asset Fund - Regular Plan - Growth Option;13.1646;29-Aug-2022
120820;INF966L01564;INF966L01572;quant Multi Asset Fund - IDCW Option - Direct Plan;78.7144;30-Aug-2022
101071;INF966L01184;INF966L01192;quant Multi Asset Fund - IDCW Option - Regular Plan;76.1156;30-Aug-2022
101072;INF966L01200;-;quant Multi Asset Fund-GROWTH OPTION - Regular Plan;82.9466;30-Aug-2022
120821;INF966L01580;-;quant Multi Asset Fund-GROWTH OPTION-Direct Plan;85.3801;30-Aug-2022
119840;INF200K01TX8;INF200K01TY6;SBI Multi Asset Allocation Fund - Direct Plan - Annual Income Distribution cum Capital Withdrawal Option (IDCW);23.6803;30-Aug-2022
119843;INF200K01TZ3;-;SBI MULTI ASSET ALLOCATION FUND - DIRECT PLAN - GROWTH;41.5619;30-Aug-2022
119841;INF200K01UA4;INF200K01UB2;SBI Multi Asset Allocation Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW);18.6628;30-Aug-2022
119842;INF200K01UC0;INF200K01UD8;SBI Multi Asset Allocation Fund - Direct Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW);19.7416;30-Aug-2022
103409;INF200K01784;INF200K01792;SBI Multi Asset Allocation Fund - Regular Plan - Annual Income Distribution cum Capital Withdrawal Option (IDCW);21.7515;30-Aug-2022
103408;INF200K01800;-;SBI MULTI ASSET ALLOCATION FUND - REGULAR PLAN - GROWTH;38.4718;30-Aug-2022
103400;INF200K01818;INF200K01826;SBI Multi Asset Allocation Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW);17.2023;30-Aug-2022
103401;INF200K01834;INF200K01842;SBI Multi Asset Allocation Fund - Regular Plan - Quarterly Income Distribution cum Capital Withdrawal Option (IDCW);17.1859;30-Aug-2022
148052;-;INF277K010Z9;Tata Multi Asset Opportnities Fund-Direct Plan-Dividend Reinvestment;16.4014;29-Aug-2022
148049;INF277K011Z7;-;Tata Multi Asset Opportunities Fund-Direct Plan-Dividend Payout;16.4014;29-Aug-2022
148053;INF277K019Y3;-;Tata Multi Asset Opportunities Fund-Direct Plan-Growth;16.4014;29-Aug-2022
148054;INF277K014Z1;-;Tata Multi Asset Opportunities Fund-Regular Plan-Dividend Payout;15.6650;29-Aug-2022
148051;-;INF277K013Z3;Tata Multi Asset Opportunities Fund-Regular Plan-Dividend Reinvestment;15.6650;29-Aug-2022
148050;INF277K012Z5;-;Tata Multi Asset Opportunities Fund-Regular Plan-Growth;15.6650;29-Aug-2022
111599;INF789F01AP6;-;UTI - Multi Asset Fund - Regular Plan - Growth Option;44.5022;30-Aug-2022
120760;INF789F01VE6;-;UTI - Multi Asset Fund- Direct Plan - Growth Option;48.0007;30-Aug-2022
120761;INF789F01VC0;INF789F01VD8;UTI Multi Asset Fund - Direct Plan - IDCW;21.707;30-Aug-2022
111602;INF789F01AN1;INF789F01AO9;UTI Multi Asset Fund - Regular Plan - IDCW;19.5593;30-Aug-2022
103062;INF109K01EA1;INF109K01AQ5;ICICI Prudential Blended Plan B -  Dividend Option - I;15.0425;07-Oct-2016
103061;INF109K01AR3;-;ICICI Prudential Blended Plan B -  Growth Option - I;23.9631;07-Oct-2016
114376;INF109K01VV1;INF109K01ID6;ICICI Prudential Blended Plan B -  Monthly Dividend Option - I;10.2660;07-Oct-2016
